lat,long,date,temp
"""21.5810088"," 39.1653612""",2023-08-22,41
"""21.5810088"," 39.1653612""",2023-08-23,42
"""21.5810088"," 39.1653612""",2023-08-24,40
"""21.5810088"," 39.1653612""",2023-08-25,39
"""21.5810088"," 39.1653612""",2023-08-26,38
"""21.5810088"," 39.1653612""",2023-08-27,37
"""21.5810088"," 39.1653612""",2023-08-28,37.8
"""21.5810088"," 39.1653612""",2023-08-29,40
"""21.5810088"," 39.1653612""",2023-08-30,42
"""21.5810088"," 39.1653612""",2023-08-31,41
"""21.5810088"," 39.1653612""",2023-09-01,37.1
"""21.5810088"," 39.1653612""",2023-09-02,39.2
"""21.5810088"," 39.1653612""",2023-09-03,40
"""21.5810088"," 39.1653612""",2023-09-04,38
"""21.5810088"," 39.1653612""",2023-09-05,38
"""21.5810088"," 39.1653612""",2023-09-06,38
"""21.5810088"," 39.1653612""",2023-09-07,40
"""21.5810088"," 39.1653612""",2023-09-08,40
"""21.5810088"," 39.1653612""",2023-09-09,39
"""21.5810088"," 39.1653612""",2023-09-10,38.8
"""21.5810088"," 39.1653612""",2023-09-11,38
"""21.5810088"," 39.1653612""",2023-09-12,38
"""21.5810088"," 39.1653612""",2023-09-13,40
"""21.5810088"," 39.1653612""",2023-09-14,38.1
"""21.5810088"," 39.1653612""",2023-09-15,38
"""21.5810088"," 39.1653612""",2023-09-16,37.2
"""21.5810088"," 39.1653612""",2023-09-17,38.8
"""21.5810088"," 39.1653612""",2023-09-18,36
"""21.5810088"," 39.1653612""",2023-09-19,38
"""21.5810088"," 39.1653612""",2023-09-20,38
"""21.5810088"," 39.1653612""",2023-09-21,38
"""21.5810088"," 39.1653612""",2023-09-22,38.1
"""21.5810088"," 39.1653612""",2023-09-23,36.1
"""21.5810088"," 39.1653612""",2023-09-24,37.2
"""21.5810088"," 39.1653612""",2023-09-25,37
"""21.5810088"," 39.1653612""",2023-09-26,35.9
"""21.5810088"," 39.1653612""",2023-09-27,37
"""21.5810088"," 39.1653612""",2023-09-28,38.1
"""21.5810088"," 39.1653612""",2023-09-29,39
"""21.5810088"," 39.1653612""",2023-09-30,36.1
"""21.5810088"," 39.1653612""",2023-10-01,36.1
"""21.5810088"," 39.1653612""",2023-10-02,36.2
"""21.5810088"," 39.1653612""",2023-10-03,36
"""21.5810088"," 39.1653612""",2023-10-04,37.9
"""21.5810088"," 39.1653612""",2023-10-05,36
"""21.5810088"," 39.1653612""",2023-10-06,37
"""21.5810088"," 39.1653612""",2023-10-07,36
"""21.5810088"," 39.1653612""",2023-10-08,40
"""21.5810088"," 39.1653612""",2023-10-09,38.1
"""21.5810088"," 39.1653612""",2023-10-10,38.8
"""21.5810088"," 39.1653612""",2023-10-11,36
"""21.5810088"," 39.1653612""",2023-10-12,37.2
"""21.5810088"," 39.1653612""",2023-10-13,36.1
"""21.5810088"," 39.1653612""",2023-10-14,35
"""21.5810088"," 39.1653612""",2023-10-15,35.2
"""21.5810088"," 39.1653612""",2023-10-16,34
"""21.5810088"," 39.1653612""",2023-10-17,35
"""25.7937091"," 55.9943962""",2023-07-19,42
"""25.7937091"," 55.9943962""",2023-07-20,42
"""25.7937091"," 55.9943962""",2023-07-21,43.7
"""25.7937091"," 55.9943962""",2023-07-22,41.8
"""25.7937091"," 55.9943962""",2023-07-23,42.6
"""25.7937091"," 55.9943962""",2023-07-24,42.1
